locations,people,services,url,,,,,
0,1,1,http://www.halliburton.com/en-US/about-us/corporate-governance/board-of-directors/default.page?node-id=hgeyxt6f,,,,,
0,1,1,http://www.halliburton.com/en-US/about-us/corporate-governance/corporate-officers.page?node-id=hgeyxt6n,,,,,
1,0,1,http://www.halliburton.com/en-US/locations/africa/halliburton-africa.page?node-id=hgeyxta1,,,,,
0,0,1,https://hiddenpathfarm.weebly.com/about.html,,,,,
1,0,0,http://www.hirameng.com/contact-page/,,,,,
0,1,0,http://www.hirameng.com/meet-the-team-2/,,,,,
0,0,1,http://www.hirameng.com/services-2/,,,,,
0,0,1,http://campgroundsofcanada.com/about,,,,,
1,0,0,http://evergreengroup.com.cn/en/contact.asp,,,,,
0,0,1,http://evergreengroup.com.cn/en/about.asp,,,,,
1,0,0,http://allensomers-salon.com/irvine_hair_salon/salon_location.php,,,,,
0,1,0,http://allensomers-salon.com/irvine_hair_salon/salon_staff.php,,,,,
1,0,0,http://gracetempledallas.org/when-and-where/?view=mobile,,,,,
0,1,0,http://gracetempledallas.org/about-us/staff-leadership/?view=mobile,,,,,
0,0,1,http://gracetempledallas.org/about-us/,,,,,
0,1,1,https://dondees.dicksonrealty.com/profile,,,,,
0,1,0,https://designgood.com/about-designgood/,,,,,
0,0,1,https://designgood.com/what-we-do/,,,,,
1,0,0,http://engineering.hibrise.com/contact-us/,,,,,
1,0,0,http://www.dsidirect.com/pages/territory-map,,,,,
0,0,1,http://www.dsidirect.com/index.php/pages/services,,,,,
1,0,0,http://www.aimitwebsolutions.com/contact/,,,,,
0,0,1,http://www.aimitwebsolutions.com/company/,,,,,
1,0,0,http://edgewestllc.com/contact/,,,,,
0,0,1,http://edgewestllc.com/#services,,,,,
0,0,1,https://companycheck.co.uk/aboutus,,,,,
0,0,1,http://cheminsurance.com/aboutus.html,,,,,
0,0,1,https://www.allvalleytransportation.com/services/,,,,,
1,0,0,http://allsystemsonline.com/contact-us,,,,,
1,0,0,https://axsh.jp/contact.html,,,,,
0,1,0,https://axsh.jp/about.html,,,,,
0,0,1,https://axsh.jp/solutions/,,,,,
1,0,0,https://centralglass.com/contact/,,,,,
0,0,1,https://centralglass.com/commercial/,,,,,
0,0,1,https://centralglass.com/residential/,,,,,
1,0,0,http://www.binarybrainwave.com/contact/,,,,,
0,0,1,https://www.garysegalarchitect.com/profile,,,,,
0,1,0,http://eago.com/directory/board-of-directors/,,,,,
0,1,0,http://eago.com/directory/honorary-members/,,,,,
0,0,1,http://eureka-pakistan.com/about-eureka/#,,,,,
1,0,0,https://www.corumrealestate.com/contact-us/,,,,,
0,1,0,http://www.hanabeecreative.com/about/,,,,,
0,0,1,http://www.hanabeecreative.com/services-1/,,,,,
0,0,1,https://hellomrmag.com/about/,,,,,
0,0,1,http://bibliocrunch.com/about-us/,,,,,
1,0,0,http://chassamrecruitment.co.uk/contact/,,,,,
0,0,1,http://chassamrecruitment.co.uk/about/,,,,,
1,0,0,https://www.capitalhottubs.com/contact-us/,,,,,
0,0,1,https://www.capitalhottubs.com/services/,,,,,
1,0,0,https://childrensmattressesonline.co.uk/contact-us,,,,,
0,0,1,https://childrensmattressesonline.co.uk/about-us,,,,,
1,0,0,http://www.blastcraftservice.com/Contact,,,,,
0,1,0,http://gwentcables.com/meet-the-team/,,,,,
0,1,0,https://akhcme.com/akhcme/pages/leadership,,,,,
0,0,1,https://akhcme.com/akhcme/pages/executive-summary,,,,,
1,0,0,http://dermatologysouthwest.com/location-2/,,,,,
0,1,0,http://dermatologysouthwest.com/our-staff/,,,,,
0,0,1,http://dermatologysouthwest.com/medical-services/,,,,,
0,0,1,http://dermatologysouthwest.com/spa-services/,,,,,
0,0,1,http://dermatologysouthwest.com/laser-services/,,,,,
1,0,0,https://www.beyondelegance.com/contact/,,,,,
1,0,0,https://www.consumerinsuranceor.com/locations.aspx,,,,,
0,1,0,https://www.consumerinsuranceor.com/contact.aspx,,,,,
1,0,0,http://www.dakotavideo.com/contact/,,,,,
1,0,0,https://www.anokhimedia.com/contact/,,,,,
0,1,0,https://www.anokhimedia.com/our-team/,,,,,
0,0,1,https://www.anokhimedia.com/about/,,,,,
1,0,0,http://www.beyond-communications.co.uk/contact/,,,,,
0,1,1,http://www.beyond-communications.co.uk/about/,,,,,
1,0,0,http://getzwell.com/contact/,,,,,
0,1,0,http://getzwell.com/meet-our-staff/,,,,,
0,0,1,http://getzwell.com/faqs/,,,,,
1,0,0,https://duro-last.com/plant_locations,,,,,
1,0,0,http://atlantaveteyeclinic.com/contact/,,,,,
0,1,0,http://atlantaveteyeclinic.com/about/avec-team/,,,,,
0,0,1,http://atlantaveteyeclinic.com/services/,,,,,
1,0,0,https://akronweldingschool.com/contact/,,,,,
0,1,0,https://akronweldingschool.com/about/faculty/,,,,,
0,0,1,https://akronweldingschool.com/about/,,,,,
1,0,0,http://blueeyesconsulting.com/connect/,,,,,
0,1,0,http://blueeyesconsulting.com/about/,,,,,
0,0,1,http://blueeyesconsulting.com/services/,,,,,
0,0,1,http://asialifeimages.com/about-us/,,,,,
0,0,1,http://www.donrodrigueskarateacademy.com/2016/07/our-classes/,,,,,
0,0,1,http://commercialfirstleasing.com/medical.html,,,,,
0,0,1,http://commercialfirstleasing.com/salon.html,,,,,
0,0,1,http://athertonconstruction.com/services,,,,,
0,0,1,https://artisandentalmadison.com/education/our-services/,,,,,
0,0,1,https://www.bsigroup.com/en-GB/our-services/,,,,,
0,0,1,http://addoncomputer.com/aboutus,,,,,
0,0,1,http://bethelautomotive.com/services.html,,,,,
0,0,1,https://www.cardinal-door.com/service-repair.php,,,,,
0,0,1,https://www.cardinal-door.com/about/company-background.php,,,,,
0,0,1,https://airtech-hvac.com/about.html,,,,,
0,0,1,https://aldantroygroup.com/about-us/,,,,,
0,0,1,http://www.botaniex.com/company-profile/,,,,,
0,0,1,https://brownsmachine.com/manufacturing/,,,,,
0,0,1,https://brownsmachine.com/repair/,,,,,
0,0,1,https://www.cmc-math.org/about-cmc,,,,,
0,0,1,http://arcbotics.com/about/,,,,,
0,0,1,https://chemistry.com.pk/about-us/,,,,,
0,0,1,http://www.angieflackbrown.com/about-us.html,,,,,
0,0,1,https://www.crescentbox.com/products/corrugated.php,,,,,
0,0,1, https://www.crescentbox.com/services/graphics-design.php,,,,,
0,0,1,http://blueorangeimages.co.uk/index.asp,,,,,
0,0,1,http://batteryemporium.com/Listing/listing.html,,,,,
0,0,1,http://animationeducatorsforum.org/about-us/,,,,,
